Unnamed: 0.1,시즌(년도)_x,소속,라운드,상대팀_x,No._x,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,블락된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격진영패스시도,공격진영패스성공,공격진영패스성공%,수비진영패스시도,수비진영패스성공,수비진영패스성공%,중앙진영패스시도,중앙진영패스성공,중앙진영패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,단거리패스시도,단거리패스성공,단거리패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,시즌(년도)_y,상대팀_y,No._y,주발,포지션 상세,정발여부
1659,2022,포항,17R,수원FC(A),4,심상민,DF,2,46,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,20,95,0,4,4,100,8,8,100.0,9,8,88.9,3,2,66.7,1,1,100.0,17,17,100.0,3,3,100.0,6,5,83.3,12,12,100.0,3,1,33.3,1,0,0,0.0,1,0,0.0,0,0,0.0,1,3,0,0,1,0,1,0,0,0,2022,수원FC(A),4,left,LB,정발
1660,2022,포항,17R,수원FC(A),5,신광훈,DF,17,94,0,1,0,0,0,0,0,0,0,1,0,4,1,1,100,36,30,83,2,15,10,67,6,6,100.0,15,14,93.3,9,7,77.8,7,7,100.0,20,16,80.0,7,3,42.9,11,10,90.9,18,17,94.4,6,2,33.3,0,3,2,66.7,1,0,0.0,4,1,25.0,1,2,3,5,1,1,1,1,0,0,2022,수원FC(A),5,right,RB,정발
1675,2022,포항,18R,김천(H),2,심상민,DF,2,86,0,0,0,0,0,0,0,0,0,0,0,8,1,1,100,49,38,78,2,22,14,64,13,12,92.3,14,12,85.7,15,11,73.3,11,9,81.8,23,18,78.3,7,3,42.9,16,13,81.2,26,22,84.6,9,3,33.3,1,2,2,100.0,1,0,0.0,3,0,0.0,0,3,0,2,2,0,1,1,0,0,2022,김천(H),2,left,LB,정발
1676,2022,포항,18R,김천(H),3,박찬용,DF,20,97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,31,86,0,12,7,58,2,2,100.0,22,22,100.0,2,2,100.0,15,13,86.7,19,16,84.2,7,4,57.1,14,12,85.7,15,15,100.0,0,0,0.0,0,3,2,66.7,5,3,60.0,0,0,0.0,8,2,2,4,4,0,1,0,0,0,2022,김천(H),3,right,CB2,정발x
1677,2022,포항,18R,김천(H),4,그랜트,DF,5,97,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,43,38,88,0,29,25,86,2,2,100.0,12,11,91.7,2,1,50.0,23,20,87.0,18,17,94.4,4,1,25.0,19,19,100.0,20,18,90.0,0,0,0.0,0,0,0,0.0,16,8,50.0,1,1,100.0,9,5,0,5,5,0,1,2,0,0,2022,김천(H),4,,CB1,정발x
1678,2022,포항,18R,김천(H),5,신광훈,DF,17,97,0,0,0,0,0,0,0,0,0,1,0,10,1,0,0,71,61,86,3,40,31,78,13,13,100.0,18,17,94.4,21,18,85.7,15,11,73.3,35,32,91.4,7,5,71.4,27,21,77.8,37,35,94.6,5,3,60.0,0,1,1,100.0,1,0,0.0,2,2,100.0,0,3,1,3,0,1,2,0,0,0,2022,김천(H),5,right,RB,정발
1693,2022,포항,19R,울산(H),2,그랜트,DF,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75,0,7,4,57,2,2,100.0,11,9,81.8,0,0,0.0,15,10,66.7,5,5,100.0,7,3,42.9,5,5,100.0,8,7,87.5,0,0,0.0,0,2,2,100.0,2,2,100.0,1,1,100.0,4,4,3,4,4,0,0,2,0,0,2022,울산(H),2,,CB1,정발x
1694,2022,포항,19R,울산(H),3,박찬용,DF,20,95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,10,67,0,7,3,43,1,1,100.0,7,6,85.7,0,0,0.0,8,5,62.5,7,5,71.4,8,4,50.0,5,4,80.0,2,2,100.0,0,0,0.0,0,1,1,100.0,1,1,100.0,0,0,0.0,6,3,3,0,2,0,1,0,0,0,2022,울산(H),3,right,CB2,정발x
1695,2022,포항,19R,울산(H),4,박승욱,DF,14,95,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,31,22,71,1,20,12,60,5,5,100.0,6,5,83.3,2,2,100.0,19,13,68.4,10,7,70.0,4,1,25.0,13,10,76.9,14,11,78.6,1,0,0.0,1,5,3,60.0,0,0,0.0,1,0,0.0,5,2,4,3,5,0,0,1,0,0,2022,울산(H),4,right,LB,정발x
1696,2022,포항,19R,울산(H),5,신광훈,DF,17,95,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,31,24,77,0,18,12,67,2,2,100.0,11,10,90.9,6,5,83.3,13,8,61.5,12,11,91.7,7,3,42.9,7,5,71.4,17,16,94.1,1,0,0.0,1,2,0,0.0,3,2,66.7,1,0,0.0,3,2,2,2,0,0,1,0,0,0,2022,울산(H),5,right,RB,정발
