시즌(년도)_x,소속,라운드,상대팀_x,No._x,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,블락된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격진영패스시도,공격진영패스성공,공격진영패스성공%,수비진영패스시도,수비진영패스성공,수비진영패스성공%,중앙진영패스시도,중앙진영패스성공,중앙진영패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,단거리패스시도,단거리패스성공,단거리패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,시즌(년도)_y,상대팀_y,No._y,주발,포지션 상세,정발여부
2023,서울,31R,제주(A),3,오스마르,DF,5,99,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,87,84,97,0,49,47,96,3,3,100.0,35,34,97.1,1,0,0.0,36,35,97.2,50,49,98.0,2,2,100.0,38,37,97.4,47,45,95.7,0,0,0.0,0,0,0,0.0,3,1,33.3,1,0,0.0,4,5,3,3,1,0,0,1,0,0,2023,제주(A),3,left,CB2,정발x
2023,서울,31R,제주(A),4,김주성,DF,30,95,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,69,65,94,0,36,32,89,9,9,100.0,24,24,100.0,0,0,0.0,26,23,88.5,43,42,97.7,5,2,40.0,28,27,96.4,36,36,100.0,0,0,0.0,0,2,1,50.0,3,3,100.0,0,0,0.0,9,4,2,1,1,0,2,1,0,0,2023,제주(A),4,left,CB1,정발
2023,서울,31R,제주(A),5,이태석,DF,88,99,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,43,31,72,0,21,11,52,14,14,100.0,8,6,75.0,8,5,62.5,14,7,50.0,21,19,90.5,3,1,33.3,18,13,72.2,22,17,77.3,0,0,0.0,1,1,0,0.0,2,1,50.0,1,0,0.0,5,3,1,5,2,0,1,2,0,0,2023,제주(A),5,left,LB,정발
2023,서울,32R,수원FC(A),2,김주성,DF,30,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83,82,99,0,47,46,98,3,3,100.0,33,33,100.0,0,0,0.0,29,28,96.6,54,54,100.0,10,9,90.0,31,31,100.0,42,42,100.0,0,0,0.0,1,4,3,75.0,10,6,60.0,3,0,0.0,5,6,3,2,5,0,1,0,0,0,2023,수원FC(A),2,left,CB1,정발
2023,서울,32R,수원FC(A),3,오스마르,DF,5,100,0,0,2,0,0,2,1,1,0,2,0,1,0,0,0,75,70,93,0,48,44,92,3,3,100.0,24,23,95.8,2,1,50.0,29,29,100.0,44,40,90.9,2,1,50.0,43,40,93.0,30,29,96.7,0,0,0.0,0,2,2,100.0,7,7,100.0,4,3,75.0,6,5,2,4,5,0,1,0,0,0,2023,수원FC(A),3,left,CB2,정발x
2023,서울,32R,수원FC(A),4,박수일,DF,96,94,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,47,36,77,0,27,18,67,14,14,100.0,6,4,66.7,11,11,100.0,9,7,77.8,27,18,66.7,9,4,44.4,20,17,85.0,18,15,83.3,3,0,0.0,0,0,0,0.0,5,2,40.0,2,0,0.0,2,1,0,4,1,0,0,1,0,0,2023,수원FC(A),4,right,RB,정발
2023,서울,32R,수원FC(A),5,이태석,DF,88,100,0,0,1,1,0,0,0,1,0,1,0,6,1,1,100,64,55,86,0,25,18,72,22,21,95.4,17,16,94.1,7,6,85.7,8,5,62.5,49,44,89.8,6,4,66.7,28,25,89.3,30,26,86.7,4,1,25.0,0,1,1,100.0,1,1,100.0,0,0,0.0,6,2,3,3,1,0,0,1,0,0,2023,수원FC(A),5,left,LB,정발
2023,서울,33R,전북(H),2,박수일,DF,96,104,0,0,0,0,0,0,0,0,0,0,0,12,1,1,100,52,45,87,0,22,18,82,13,13,100.0,17,14,82.4,11,10,90.9,13,11,84.6,28,24,85.7,8,4,50.0,23,20,87.0,21,21,100.0,1,0,0.0,0,2,1,50.0,5,5,100.0,1,0,0.0,6,2,2,7,2,2,0,2,0,0,2023,전북(H),2,right,RB,정발
2023,서울,33R,전북(H),3,이태석,DF,88,104,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,51,37,73,0,26,13,50,9,8,88.9,16,16,100.0,11,7,63.6,18,11,61.1,22,19,86.4,4,0,0.0,23,18,78.3,24,19,79.2,4,0,0.0,0,2,2,100.0,6,3,50.0,2,0,0.0,5,5,10,8,4,0,1,1,0,0,2023,전북(H),3,left,LB,정발
2023,서울,33R,전북(H),4,김주성,DF,30,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,48,89,0,23,18,78,6,5,83.3,25,25,100.0,0,0,0.0,25,21,84.0,29,27,93.1,3,3,100.0,26,23,88.5,25,22,88.0,0,0,0.0,0,3,2,66.7,4,4,100.0,3,0,0.0,10,5,4,3,4,0,0,1,0,0,2023,전북(H),4,left,CB1,정발
2023,서울,33R,전북(H),5,오스마르,DF,5,104,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,82,66,80,0,46,30,65,4,4,100.0,32,32,100.0,1,0,0.0,40,34,85.0,41,32,78.0,12,6,50.0,39,36,92.3,31,24,77.4,0,0,0.0,0,2,1,50.0,6,5,83.3,3,1,33.3,8,5,3,11,1,1,1,0,0,0,2023,전북(H),5,left,CB2,정발x
2023,서울,34R,강원(H),2,김주성,DF,30,91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61,58,95,0,30,27,90,8,8,100.0,23,23,100.0,2,1,50.0,15,14,93.3,44,43,97.7,3,2,66.7,21,21,100.0,37,35,94.6,0,0,0.0,0,4,3,75.0,5,2,40.0,5,3,60.0,3,5,3,2,2,0,0,0,0,0,2023,강원(H),2,left,CB1,정발
2023,서울,34R,강원(H),3,이시영,DF,22,99,0,0,2,0,0,2,1,1,0,1,0,6,1,0,0,64,58,91,1,15,10,67,24,23,95.8,25,25,100.0,28,25,89.3,10,9,90.0,26,24,92.3,3,3,100.0,16,14,87.5,45,41,91.1,1,0,0.0,0,2,0,0.0,1,1,100.0,5,1,20.0,2,3,3,5,1,1,1,0,1,0,2023,강원(H),3,right,LB,정발x
2023,서울,34R,강원(H),4,박수일,DF,96,99,0,0,2,2,0,0,1,1,0,0,0,4,0,0,0,66,61,92,1,27,22,82,9,9,100.0,30,30,100.0,8,8,100.0,13,11,84.6,45,42,93.3,6,4,66.7,25,22,88.0,35,35,100.0,1,1,100.0,0,0,0,0.0,2,0,0.0,1,1,100.0,3,2,1,4,3,0,2,1,1,0,2023,강원(H),4,right,RB,정발
2023,서울,34R,강원(H),5,오스마르,DF,5,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,88,81,92,0,54,47,87,4,4,100.0,30,30,100.0,0,0,0.0,29,29,100.0,59,52,88.1,11,8,72.7,45,44,97.8,32,29,90.6,2,0,0.0,1,2,2,100.0,1,0,0.0,1,0,0.0,5,11,4,5,3,0,0,0,0,0,2023,강원(H),5,left,CB2,정발x
2023,서울,35R,수원FC(A),2,박수일,DF,96,103,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,64,51,80,0,30,18,60,17,16,94.1,17,17,100.0,11,10,90.9,20,10,50.0,33,31,93.9,6,2,33.3,23,21,91.3,35,28,80.0,4,0,0.0,0,6,4,66.7,3,0,0.0,4,2,50.0,1,1,6,6,0,0,0,2,0,0,2023,수원FC(A),2,right,RB,정발
2023,서울,35R,수원FC(A),3,이시영,DF,22,103,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,39,36,92,0,13,10,77,15,15,100.0,11,11,100.0,12,12,100.0,9,7,77.8,18,17,94.4,1,1,100.0,12,10,83.3,26,25,96.2,1,0,0.0,0,3,2,66.7,5,4,80.0,4,0,0.0,6,7,5,4,2,2,2,1,0,0,2023,수원FC(A),3,right,LB,정발x
2023,서울,35R,수원FC(A),4,김주성,DF,30,103,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,73,69,95,0,36,32,89,12,12,100.0,25,25,100.0,0,0,0.0,23,21,91.3,50,48,96.0,8,5,62.5,31,30,96.8,34,34,100.0,0,0,0.0,0,2,1,50.0,8,7,87.5,0,0,0.0,6,4,3,4,1,1,2,1,0,0,2023,수원FC(A),4,left,CB1,정발
2023,서울,35R,수원FC(A),5,오스마르,DF,5,103,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,84,81,96,2,46,43,94,6,6,100.0,32,32,100.0,1,1,100.0,22,21,95.4,61,59,96.7,8,7,87.5,50,48,96.0,26,26,100.0,0,0,0.0,0,0,0,0.0,5,3,60.0,5,1,20.0,4,4,1,4,6,0,1,0,0,0,2023,수원FC(A),5,left,CB2,정발x
2023,서울,36R,제주(A),2,황현수,DF,2,79,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,55,48,87,0,28,24,86,7,7,100.0,20,17,85.0,0,0,0.0,24,20,83.3,31,28,90.3,3,1,33.3,24,21,87.5,28,26,92.9,0,0,0.0,0,0,0,0.0,2,1,50.0,2,0,0.0,5,4,3,0,2,0,0,0,0,0,2023,제주(A),2,right,CB2,정발
2023,서울,36R,제주(A),3,이시영,DF,22,99,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,45,37,82,1,15,10,67,16,16,100.0,14,11,78.6,11,9,81.8,8,6,75.0,26,22,84.6,5,4,80.0,12,8,66.7,28,25,89.3,1,0,0.0,1,0,0,0.0,5,2,40.0,0,0,0.0,2,1,2,5,4,0,1,0,1,0,2023,제주(A),3,right,LB,정발x
2023,서울,36R,제주(A),4,박수일,DF,96,99,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,59,52,88,0,25,20,80,17,17,100.0,17,15,88.2,14,12,85.7,19,16,84.2,26,24,92.3,4,4,100.0,18,13,72.2,37,35,94.6,1,0,0.0,1,0,0,0.0,3,0,0.0,1,1,100.0,2,7,4,6,4,0,0,0,0,0,2023,제주(A),4,right,RB,정발
