시즌(년도)_x,소속,라운드,상대팀_x,No._x,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,블락된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격진영패스시도,공격진영패스성공,공격진영패스성공%,수비진영패스시도,수비진영패스성공,수비진영패스성공%,중앙진영패스시도,중앙진영패스성공,중앙진영패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,단거리패스시도,단거리패스성공,단거리패스성공%,크로스시도,크로스성공,크로스성공%,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,탈압박,시즌(년도)_y,상대팀_y,No._y,주발,포지션 상세,정발여부
2021,울산,22R,서울(A),3,임종은,DF,36,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,82,92,0,41,34,83,3,3,100.0,45,45,100.0,1,1,100.0,21,19,90.5,67,62,92.5,10,7,70.0,51,49,96.1,28,26,92.9,0,0,0.0,7,3,42.9,7,4,57.1,1,1,100.0,4,5,6,6,3,0,0,1,0,0,0,2021.0,서울(A),3.0,right,CB1,정발x
2021,울산,22R,서울(A),4,김기희,DF,44,92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,101,95,94,0,46,40,87,2,2,100.0,53,53,100.0,0,0,0.0,14,12,85.7,87,83,95.4,13,13,100.0,50,46,92.0,38,36,94.7,0,0,0.0,2,1,50.0,8,5,62.5,0,0,0.0,2,3,4,7,0,0,1,1,0,0,0,2021.0,서울(A),4.0,right,CB2,정발
2021,울산,22R,서울(A),5,김태환,DF,23,92,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,79,71,90,0,16,12,75,41,41,100.0,22,18,81.8,32,26,81.2,8,8,100.0,39,37,94.9,6,4,66.7,26,25,96.2,47,42,89.4,3,0,0.0,3,3,100.0,1,1,100.0,0,0,0.0,0,2,3,6,0,0,0,0,0,0,0,2021.0,서울(A),5.0,right,RB,정발
2021,울산,23R,강원(H),2,김태환,DF,23,96,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,47,36,77,2,25,16,64,9,8,88.9,13,12,92.3,12,8,66.7,11,10,90.9,24,18,75.0,6,3,50.0,15,13,86.7,26,20,76.9,1,0,0.0,5,4,80.0,0,0,0.0,0,0,0.0,7,2,3,8,0,0,1,0,0,0,0,2021.0,강원(H),2.0,right,RB,정발
2021,울산,23R,강원(H),3,불투이스,DF,4,96,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,42,38,90,0,24,20,83,4,4,100.0,14,14,100.0,0,0,0.0,14,14,100.0,28,24,85.7,4,2,50.0,28,26,92.9,10,10,100.0,0,0,0.0,3,1,33.3,4,3,75.0,1,1,100.0,5,0,4,6,0,0,0,0,0,0,0,2021.0,강원(H),3.0,left,CB1,정발
2021,울산,23R,강원(H),4,홍철,DF,33,85,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,55,48,87,1,23,17,74,16,16,100.0,16,15,93.8,6,5,83.3,13,11,84.6,36,32,88.9,7,6,85.7,21,18,85.7,27,24,88.9,2,0,0.0,7,6,85.7,6,3,50.0,0,0,0.0,2,3,3,11,0,0,1,2,1,0,0,2021.0,강원(H),4.0,left,LB,정발
2021,울산,23R,강원(H),5,김기희,DF,44,96,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,34,30,88,0,15,12,80,2,2,100.0,17,16,94.1,0,0,0.0,18,14,77.8,16,16,100.0,6,4,66.7,21,20,95.2,7,6,85.7,0,0,0.0,2,1,50.0,2,2,100.0,1,0,0.0,2,1,1,5,0,0,0,0,0,0,0,2021.0,강원(H),5.0,right,CB2,정발
2021,울산,24R,성남(A),2,홍철,DF,33,96,1,0,1,1,0,0,1,0,0,0,2,10,0,0,0,82,63,77,1,33,19,58,23,23,100.0,26,21,80.8,20,12,60.0,16,13,81.2,46,38,82.6,15,8,53.3,34,24,70.6,33,31,93.9,9,2,22.2,3,1,33.3,4,3,75.0,0,0,0.0,1,1,2,12,0,1,1,0,0,0,0,2021.0,성남(A),2.0,left,LB,정발
2021,울산,24R,성남(A),3,임종은,DF,36,96,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,78,66,85,0,35,24,69,5,5,100.0,38,37,97.4,3,1,33.3,33,28,84.8,42,37,88.1,12,8,66.7,41,36,87.8,25,22,88.0,0,0,0.0,4,4,100.0,9,5,55.6,1,0,0.0,2,5,5,11,0,0,0,2,0,0,1,2021.0,성남(A),3.0,right,CB2,정발
2021,울산,24R,성남(A),4,김기희,DF,44,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,89,79,89,0,43,34,79,4,4,100.0,42,41,97.6,4,1,25.0,30,23,76.7,55,55,100.0,7,6,85.7,37,34,91.9,45,39,86.7,1,0,0.0,4,2,50.0,5,5,100.0,0,0,0.0,1,4,4,13,1,0,1,0,0,0,0,2021.0,성남(A),4.0,right,CB1,정발x
